year,team,teamname,obp,era,winpct,homerun,battingavg,finish
2018,ATL,Atlanta Braves ,0.326,3.83,55.3,101,0.258,Qualifying
2018,ARI,Arizona Diamondbacks ,0.307,3.62,54.6,107,0.229,Not Qualifying
2018,BAL,Baltimore Orioles ,0.29,4.87,28.9,111,0.227,Not Qualifying
2018,BOS,Boston Red Sox ,0.339,3.59,69.4,134,0.272,Playoffs
2018,CHC,Chicago Cubs ,0.345,3.57,59.6,101,0.266,Playoffs
2018,CHW,Chicago White Sox ,0.303,4.92,34.7,101,0.244,Not Qualifying
2018,CIN,Cincinnati Reds ,0.341,4.69,44.8,101,0.26,Not Qualifying
2018,CLE,Cleveland Indians ,0.326,4,54.7,132,0.255,Playoffs
2018,COL,Colorado Rockies ,0.322,4.68,53.1,124,0.258,Not Qualifying
2018,DET,Detroit Tigers ,0.303,4.42,41.8,80,0.245,Not Qualifying
2018,HOU,Houston Astros ,0.334,2.94,64.6,126,0.261,Playoffs
2018,KCR,Kansas City Royals ,0.299,5.4,28.4,78,0.239,Not Qualifying
2018,LAA,Los Angeles Angels ,0.316,3.81,50.5,130,0.244,Not Qualifying
2018,LAD,Los Angeles Dodgers ,0.325,3.49,55.2,129,0.244,Playoffs
2018,MIA,Miami Marlins ,0.313,4.74,41.8,80,0.246,Not Qualifying
2018,MIL,Milwaukee Brewers ,0.316,3.65,56.1,124,0.245,Playoffs
2018,MIN,Minnesota Twins ,0.316,4.51,46.8,98,0.244,Not Qualifying
2018,NYM,New York Mets ,0.307,4.29,41.5,97,0.228,Not Qualifying
2018,NYY,New York Yankees ,0.33,3.48,65.3,161,0.252,Playoffs
2018,OAK,Oakland Athletics ,0.316,4.01,56.7,127,0.246,Not Qualifying
2018,PHI,Philadelphia Phillies ,0.319,3.85,55.8,104,0.236,Playoffs
2018,PIT,Pittsburgh Pirates ,0.317,4.32,49.5,97,0.25,Not Qualifying
2018,SDP,San Diego Padres ,0.298,4.29,40.4,87,0.232,Not Qualifying
2018,SEA,Seattle Mariners ,0.319,4.05,59.8,110,0.258,Playoffs
2018,SFG,San Francisco Giants ,0.317,4,51,91,0.252,Not Qualifying
2018,STL,St. Louis Cardinals ,0.316,3.89,50.5,120,0.246,Not Qualifying
2018,TBR,Tampa Bay Rays ,0.327,3.71,51,88,0.256,Not Qualifying
2018,TEX,Texas Rangers ,0.319,4.61,42.3,109,0.236,Not Qualifying
2018,TOR,Toronto Blue Jays ,0.31,4.52,45.3,126,0.238,Not Qualifying
2018,WSN,Washington Nationals ,0.322,3.87,50,112,0.244,Not Qualifying
